Gene	Chromosome	Start	End	Expression_Breadth	Description	GO_Term	GO_Function
ZBED1				18	zinc finger, BED-type containing 1
DHX15	chr4	24138185	24195282	18	DEAH (Asp-Glu-Ala-His) box polypeptide 15	0008380	RNA splicing
DHX29	chr5	54587829	54639278	18	DEAH (Asp-Glu-Ala-His) box polypeptide 29	0006412	translation
DHX30	chr3	47819402	47866690	18	DEAH (Asp-Glu-Ala-His) box polypeptide 30	0008026	ATP-dependent helicase activity
DHX38	chr16	70685115	70704312	18	DEAH (Asp-Glu-Ala-His) box polypeptide 38	0005654	nucleoplasm
DHX9	chr1	181075073	181123507	18	DEAH (Asp-Glu-Ala-His) box polypeptide 9	0005634	nucleus
DIAPH1	chr5	140874771	140978806	18	diaphanous homolog 1 (Drosophila)	0016043	cellular component organization
DLAT	chr11	111400747	111440188	18	dihydrolipoamide S-acetyltransferase	0005967	mitochondrial pyruvate dehydrogenase complex
DLD	chr7	107318821	107348879	18	dihydrolipoamide dehydrogenase	0005759	mitochondrial matrix
DLG1	chr3	198253827	198509844	18	discs, large homolog 1 (Drosophila)	0005515	protein binding
DLGAP4	chr20	34357716	34590454	18	discs, large (Drosophila) homolog-associated protein 4	0005515	protein binding
DLST	chr14	74418371	74440198	18	dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex)	0006091	generation of precursor metabolites and energy
DMAP1	chr1	44451711	44458938	18	DNA methyltransferase 1 associated protein 1	0006306	DNA methylation
DNAJA1	chr9	33015208	33029062	18	DnaJ (Hsp40) homolog, subfamily A, member 1	0016020	membrane
DNAJA2	chr16	45546774	45565126	18	DnaJ (Hsp40) homolog, subfamily A, member 2	0046872	metal ion binding
DNAJA3	chr16	4415858	4446776	18	DnaJ (Hsp40) homolog, subfamily A, member 3	0005515	protein binding
DNAJB1	chr19	14486581	14490201	18	DnaJ (Hsp40) homolog, subfamily B, member 1	0051085	chaperone mediated protein folding requiring cofactor
DNAJB11	chr3	187771160	187786283	18	DnaJ (Hsp40) homolog, subfamily B, member 11	0005515	protein binding
DNAJB12	chr10	73762593	73784913	18	DnaJ (Hsp40) homolog, subfamily B, member 12	0006457	protein folding
DNAJB2	chr2	219852283	219859866	18	DnaJ (Hsp40) homolog, subfamily B, member 2	0070628	proteasome binding
DNAJB6	chr7	156822470	156871779	18	DnaJ (Hsp40) homolog, subfamily B, member 6	0005515	protein binding
DNAJB9	chr7	107997591	108002530	18	DnaJ (Hsp40) homolog, subfamily B, member 9	0006457	protein folding
DNAJC10	chr2	183289243	183351500	18	DnaJ (Hsp40) homolog, subfamily C, member 10	0051082	unfolded protein binding
DNAJC11	chr1	6616814	6684553	18	DnaJ (Hsp40) homolog, subfamily C, member 11	0006457	protein folding
DNAJC16	chr1	15725938	15770815	18	DnaJ (Hsp40) homolog, subfamily C, member 16	0031072	heat shock protein binding
DNAJC19	chr3	182184197	182190224	18	DnaJ (Hsp40) homolog, subfamily C, member 19	0006457	protein folding
DNAJC21	chr5	34965454	34994826	18	DnaJ (Hsp40) homolog, subfamily C, member 21	0003674	molecular_function
DNAJC7	chr17	37381982	37422702	18	DnaJ (Hsp40) homolog, subfamily C, member 7	0005634	nucleus
DNAJC8	chr1	28399376	28432129	18	DnaJ (Hsp40) homolog, subfamily C, member 8	0005654	nucleoplasm
DNM1L	chr12	32723403	32789851	18	dynamin 1-like	0043653	mitochondrial fragmentation involved in apoptosis
DNMT1	chr19	10105021	10166755	18	DNA (cytosine-5-)-methyltransferase 1	0009008	DNA-methyltransferase activity
DNTTIP2	chr1	94107923	94117330	18	deoxynucleotidyltransferase, terminal, interacting protein 2	0005634	nucleus
DOK4	chr16	56063370	56077886	18	docking protein 4	0005158	insulin receptor binding
DPAGT1	chr11	118472422	118477995	18	dolichyl-phosphate (UDP-N-acetylglucosamine) N-acetylglucosaminephosphotransferase 1 (GlcNAc-1-P transferase)	0005792	microsome
DPF2	chr11	64857921	64877027	18	D4, zinc and double PHD fingers family 2	0045449	regulation of transcription
OVCA2				18	candidate tumor suppressor in ovarian cancer 2
DPH5	chr1	101227768	101263950	18	DPH5 homolog (S. cerevisiae)	0016740	transferase activity
DPP8	chr15	63525050	63597088	18	dipeptidyl-peptidase 8	0005737	cytoplasm
DPP9	chr19	4626243	4674855	18	dipeptidyl-peptidase 9	0016020	membrane
DPYSL2	chr8	26491337	26571610	18	dihydropyrimidinase-like 2	0016810	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds
DPYSL3	chr5	146750563	146813453	18	dihydropyrimidinase-like 3	0007165	signal transduction
DRAM	chr12	100795235	100841532	18	damage-regulated autophagy modulator
DRG2	chr17	17932007	17952017	18	developmentally regulated GTP binding protein 2	0005739	mitochondrion
DSCR3	chr21	37517595	37561703	18	Down syndrome critical region gene 3	0003674	molecular_function
DSP	chr6	7486868	7531945	18	desmoplakin	0001533	cornified envelope
DTX2	chr7	75928907	75973248	18	deltex homolog 2 (Drosophila)	0046872	metal ion binding
DTX3L	chr3	123765874	123776739	18	deltex 3-like (Drosophila)	0005634	nucleus
DUS1L	chr17	77609039	77616969	18	dihydrouridine synthase 1-like (S. cerevisiae)	0050660	FAD binding
DUS2L	chr16	66614704	66670685	18	dihydrouridine synthase 2-like, SMM1 homolog (S. cerevisiae)	0005622	intracellular
DUS3L	chr19	5736152	5742190	18	dihydrouridine synthase 3-like (S. cerevisiae)	0017150	tRNA dihydrouridine synthase activity
DUSP1	chr5	172127706	172130809	18	dual specificity phosphatase 1	0016787	hydrolase activity
DUSP3	chr17	39199014	39211894	18	dual specificity phosphatase 3	0001772	immunological synapse
DUSP4	chr8	29249536	29262241	18	dual specificity phosphatase 4	0017017	MAP kinase tyrosine/serine/threonine phosphatase activity
DUSP6	chr12	88265967	88270427	18	dual specificity phosphatase 6	0005654	nucleoplasm
DUT	chr15	46410912	46422862	18	deoxyuridine triphosphatase	0009117	nucleotide metabolic process
DVL1	chr1	1260520	1274355	18	dishevelled, dsh homolog 1 (Drosophila)	0060070	canonical Wnt receptor signaling pathway
DYM	chr18	44824169	45241077	18	dymeclin	0005737	cytoplasm
DYNC1H1	chr14	101500617	101586888	18	dynein, cytoplasmic 1, heavy chain 1	0042623	ATPase activity, coupled
DYNC1I2	chr2	172252227	172313165	18	dynein, cytoplasmic 1, intermediate chain 2	0000086	G2/M transition of mitotic cell cycle
DYNC1LI2	chr16	65312299	65343026	18	dynein, cytoplasmic 1, light intermediate chain 2	0005874	microtubule
DYNLL1	chr12	119392042	119420681	18	dynein, light chain, LC8-type 1	0009653	anatomical structure morphogenesis
DYNLT3	chrX	37583032	37591833	18	dynein, light chain, Tctex-type 3	colocalizes
DZIP3	chr3	109791026	109896383	18	DAZ interacting protein 3, zinc finger	0003723	RNA binding
EAPP	chr14	34054885	34078694	18	E2F-associated phosphoprotein	0008284	positive regulation of cell proliferation
EARS2	chr16	23440834	23476197	18	glutamyl-tRNA synthetase 2, mitochondrial (putative)	0005739	mitochondrion
EBNA1BP2	chr1	43402441	43410518	18	EBNA1 binding protein 2	0005624	membrane fraction
EBP	chrX	48265107	48272048	18	emopamil binding protein (sterol isomerase)	0015238	drug transmembrane transporter activity
ECE1	chr1	21416326	21478770	18	endothelin converting enzyme 1	0005769	early endosome
ECH1	chr19	43997901	44014337	18	enoyl Coenzyme A hydratase 1, peroxisomal	0005739	mitochondrion
ECHDC1	chr6	127651549	127706447	18	enoyl Coenzyme A hydratase domain containing 1	0003824	catalytic activity
ECHS1	chr10	135025976	135036898	18	enoyl Coenzyme A hydratase, short chain, 1, mitochondrial	0006631	fatty acid metabolic process
ECM1	chr1	148747110	148752889	18	extracellular matrix protein 1	0005578	proteinaceous extracellular matrix
ECOP	chr7	55505799	55607694	18	EGFR-coamplified and overexpressed protein
ECT2	chr3	173954991	174021957	18	epithelial cell transforming sequence 2 oncogene	0043123	positive regulation of I-kappaB kinase/NF-kappaB cascade
EDEM2	chr20	33166820	33198822	18	ER degradation enhancer, mannosidase alpha-like 2	0005783	endoplasmic reticulum
EEF1A1	chr6	74282193	74287476	18	eukaryotic translation elongation factor 1 alpha 1	0005853	eukaryotic translation elongation factor 1 complex
EEF1B2	chr2	206732562	206735898	18	eukaryotic translation elongation factor 1 beta 2	0006414	translational elongation
EEF1D	chr8	144733040	144750988	18	eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein)	0010467	gene expression
EEF1G	chr11	62083648	62098036	18	eukaryotic translation elongation factor 1 gamma	0003746	translation elongation factor activity
EEF2	chr19	3927053	3936461	18	eukaryotic translation elongation factor 2	0005525	GTP binding
EFEMP1	chr2	55946605	56004436	18	EGF-containing fibulin-like extracellular matrix protein 1	0005509	calcium ion binding
EFEMP2	chr11	65390487	65396916	18	EGF-containing fibulin-like extracellular matrix protein 2	0004888	transmembrane receptor activity
EFTUD2	chr17	40283180	40332519	18	elongation factor Tu GTP binding domain containing 2	0005654	nucleoplasm
EGLN1	chr1	229568053	229627413	18	egl nine homolog 1 (C. elegans)	0031418	L-ascorbic acid binding
EGLN2	chr19	45996887	46006177	18	egl nine homolog 2 (C. elegans)	0016706	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors
EHD1	chr11	64376783	64402767	18	EH-domain containing 1	0005509	calcium ion binding
EHMT2	chr6	31955515	31973443	18	euchromatic histone-lysine N-methyltransferase 2	0016740	transferase activity
EI24	chr11	124944507	124959785	18	etoposide induced 2.4 mRNA	0016021	integral to membrane
EID1	chr15	46957581	46959672	18	EP300 interacting inhibitor of differentiation 1	0005515	protein binding
EIF1	chr17	37098652	37101424	18	eukaryotic translation initiation factor 1	0003743	translation initiation factor activity
EIF1AX	chrX	20052556	20069887	18	eukaryotic translation initiation factor 1A, X-linked	0005829	cytosol
EIF1B	chr3	40326176	40328919	18	eukaryotic translation initiation factor 1B	0005515	protein binding
EIF2A	chr3	151747263	151786493	18	eukaryotic translation initiation factor 2A, 65kDa	0000049	tRNA binding
EIF2AK1	chr7	6028403	6065386	18	eukaryotic translation initiation factor 2-alpha kinase 1	0006950	response to stress
EIF2AK4	chr15	38013638	38115089	18	eukaryotic translation initiation factor 2 alpha kinase 4	0006468	protein amino acid phosphorylation
EIF2B1	chr12	122671522	122684200	18	eukaryotic translation initiation factor 2B, subunit 1 alpha, 26kDa	0006412	translation
EIF2C1	chr1	36121396	36162486	18	eukaryotic translation initiation factor 2C, 1	0000956	nuclear-transcribed mRNA catabolic process
EIF2S1	chr14	66896786	66922986	18	eukaryotic translation initiation factor 2, subunit 1 alpha, 35kDa	0006417	regulation of translation
EIF2S2	chr20	32139775	32163746	18	eukaryotic translation initiation factor 2, subunit 2 beta, 38kDa	0003743	translation initiation factor activity
EIF2S3	chrX	23982985	24006851	18	eukaryotic translation initiation factor 2, subunit 3 gamma, 52kDa	0008135	translation factor activity, nucleic acid binding
EIF3A	chr10	120784530	120830324	18	eukaryotic translation initiation factor 3, subunit A	0005515	protein binding
EIF3B	chr7	2360999	2386903	18	eukaryotic translation initiation factor 3, subunit B	contributes
EIF3C	chr16	28630282	28654551	18	eukaryotic translation initiation factor 3, subunit C	contributes
EIF3CL	chr16	28298400	28322663	18	eukaryotic translation initiation factor 3, subunit C-like
EIF3D	chr22	35236842	35255223	18	eukaryotic translation initiation factor 3, subunit D	0005829	cytosol
EIF3E	chr8	109283147	109330135	18	eukaryotic translation initiation factor 3, subunit E	0045947	negative regulation of translational initiation
EIF3F	chr11	7965442	7974296	18	eukaryotic translation initiation factor 3, subunit F	0005515	protein binding
EIF3H	chr8	117726235	117837243	18	eukaryotic translation initiation factor 3, subunit H	contributes
EIF3I	chr1	32460557	32469792	18	eukaryotic translation initiation factor 3, subunit I	0044267	cellular protein metabolic process
EIF3J	chr15	42616557	42642293	18	eukaryotic translation initiation factor 3, subunit J	0005852	eukaryotic translation initiation factor 3 complex
EIF3K	chr19	43801561	43819435	18	eukaryotic translation initiation factor 3, subunit K	0044267	cellular protein metabolic process
EIF3L	chr22	36575315	36614584	18	eukaryotic translation initiation factor 3, subunit L	0005852	eukaryotic translation initiation factor 3 complex
EIF3M	chr11	32561966	32580590	18	eukaryotic translation initiation factor 3, subunit M	0005852	eukaryotic translation initiation factor 3 complex
EIF4A1	chr17	7416780	7423048	18	eukaryotic translation initiation factor 4A, isoform 1	0003729	mRNA binding
EIF4A2	chr3	187984054	187990379	18	eukaryotic translation initiation factor 4A, isoform 2	0008026	ATP-dependent helicase activity
EIF4B	chr12	51686328	51722260	18	eukaryotic translation initiation factor 4B	0003723	RNA binding
EIF4E	chr4	100018629	100069266	18	eukaryotic translation initiation factor 4E	0005845	mRNA cap binding complex
EIF4EBP2	chr10	71833866	71858380	18	eukaryotic translation initiation factor 4E binding protein 2	0006412	translation
EIF4G1	chr3	185515049	185535840	18	eukaryotic translation initiation factor 4 gamma, 1	0003743	translation initiation factor activity
EIF4G2	chr11	10775168	10787158	18	eukaryotic translation initiation factor 4 gamma, 2	0008219	cell death
EIF4H	chr7	73226641	73249365	18	eukaryotic translation initiation factor 4H	0005829	cytosol
EIF5	chr14	102870245	102881114	18	eukaryotic translation initiation factor 5	0006413	translational initiation
EIF5AL1				18	eukaryotic translation initiation factor 5A-like 1
EIF5B	chr2	99320265	99383160	18	eukaryotic translation initiation factor 5B	0010467	gene expression
EIF6	chr20	33330138	33336008	18	eukaryotic translation initiation factor 6	0042256	mature ribosome assembly
ELAC2	chr17	12836426	12862084	18	elaC homolog 2 (E. coli)	0008033	tRNA processing
ELAVL1	chr19	7929456	7976529	18	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 1 (Hu antigen R)	0048255	mRNA stabilization
ELF1	chr13	40404054	40454418	18	E74-like factor 1 (ets domain transcription factor)	0016564	transcription repressor activity
ELL2	chr5	95246557	95323531	18	elongation factor, RNA polymerase II, 2	0005634	nucleus
ELOVL5	chr6	53240154	53321901	18	ELOVL family member 5, elongation of long chain fatty acids (FEN1/Elo2, SUR4/Elo3-like, yeast)	0016021	integral to membrane
ELP2	chr18	31963884	32008605	18	elongation protein 2 homolog (S. cerevisiae)	0045449	regulation of transcription
ELP3	chr8	28006502	28104588	18	elongation protein 3 homolog (S. cerevisiae)	0008023	transcription elongation factor complex
EMG1	chr12	6950204	6955404	18	EMG1 nucleolar protein homolog (S. cerevisiae)	0005634	nucleus
EMP1	chr12	13240868	13260975	18	epithelial membrane protein 1	0016021	integral to membrane
ENG	chr9	129617111	129656868	18	endoglin	0010553	negative regulation of gene-specific transcription from RNA polymerase II promoter
ENO1	chr1	8843649	8861367	18	enolase 1, (alpha)	0016564	transcription repressor activity
ENOPH1	chr4	83570749	83601268	18	enolase-phosphatase 1	0043874	acireductone synthase activity
ENSA	chr1	148861222	148868722	18	endosulfine alpha	0007584	response to nutrient
ENTPD1	chr10	97461525	97627013	18	ectonucleoside triphosphate diphosphohydrolase 1	0005886	plasma membrane
ENTPD6	chr20	25124338	25155360	18	ectonucleoside triphosphate diphosphohydrolase 6 (putative function)	0016020	membrane
EP400	chr12	131000460	131130958	18	E1A binding protein p400	0045449	regulation of transcription
EPAS1	chr2	46378066	46467340	18	endothelial PAS domain protein 1	0045944	positive regulation of transcription from RNA polymerase II promoter
EPB41L2	chr6	131202180	131426155	18	erythrocyte membrane protein band 4.1-like 2	0005737	cytoplasm
EPM2AIP1	chr3	37002360	37009799	18	EPM2A (laforin) interacting protein 1	0005783	endoplasmic reticulum
EPRS	chr1	218208564	218286623	18	glutamyl-prolyl-tRNA synthetase	0006424	glutamyl-tRNA aminoacylation
EPS15	chr1	51592522	51757583	18	epidermal growth factor receptor pathway substrate 15	0016050	vesicle organization
ERAL1	chr17	24206168	24212198	18	Era G-protein-like 1 (E. coli)	0005575	cellular_component
ERAP1	chr5	96122269	96169648	18	endoplasmic reticulum aminopeptidase 1	0016020	membrane
ERBB2	chr17	35097918	35138441	18	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)	0007399	nervous system development
ERCC3	chr2	127731335	127768222	18	excision repair cross-complementing rodent repair deficiency, complementation group 3 (xeroderma pigmentosum group B complementing)	0043138	3'-5' DNA helicase activity
ERCC5	chr13	102296174	102326346	18	excision repair cross-complementing rodent repair deficiency, complementation group 5	0004520	endodeoxyribonuclease activity
ERGIC1	chr5	172193828	172312294	18	endoplasmic reticulum-golgi intermediate compartment (ERGIC) 1	0005783	endoplasmic reticulum
ERGIC2	chr12	29384845	29425410	18	ERGIC and golgi 2	0033116	ER-Golgi intermediate compartment membrane
ERLIN1	chr10	101899836	101935804	18	ER lipid raft associated 1	0030433	ER-associated protein catabolic process
ERLIN2	chr8	37713254	37723229	18	ER lipid raft associated 2	0005783	endoplasmic reticulum
ERO1L	chr14	52178354	52232169	18	ERO1-like (S. cerevisiae)	0022900	electron transport chain
ETF1	chr5	137869682	137906831	18	eukaryotic translation termination factor 1	0043022	ribosome binding
ETFA	chr15	74295683	74390865	18	electron-transfer-flavoprotein, alpha polypeptide	0005759	mitochondrial matrix
ETFDH	chr4	159812726	159849291	18	electron-transferring-flavoprotein dehydrogenase	0004174	electron-transferring-flavoprotein dehydrogenase activity
EWSR1	chr22	27994016	28026515	18	Ewing sarcoma breakpoint region 1	0045449	regulation of transcription
EXOC1	chr4	56414572	56466001	18	exocyst complex component 1	0000145	exocyst
EXOC5	chr14	56738946	56805370	18	exocyst complex component 5	0015031	protein transport
EXOC7	chr17	71588681	71611451	18	exocyst complex component 7	0005515	protein binding
EXOSC10	chr1	11049262	11082525	18	exosome component 10	0071044	histone mRNA catabolic process
EXOSC3	chr9	37770307	37775067	18	exosome component 3	0000176	nuclear exosome (RNase complex)
EXOSC7	chr3	44992744	45027966	18	exosome component 7	0006364	rRNA processing
EXT2	chr11	44073674	44223556	18	exostoses (multiple) 2	0005515	protein binding
EYA3	chr1	28173405	28287718	18	eyes absent homolog 3 (Drosophila)	0045739	positive regulation of DNA repair
EZH2	chr7	148135407	148212347	18	enhancer of zeste homolog 2 (Drosophila)	0008168	methyltransferase activity
EZR	chr6	159106760	159160444	18	ezrin	0005902	microvillus
F11R	chr1	159231624	159257757	18	F11 receptor	0005886	plasma membrane
F2R	chr5	76047623	76067351	18	coagulation factor II (thrombin) receptor	0032651	regulation of interleukin-1 beta production
FABP5	chr8	82355339	82359563	18	fatty acid binding protein 5 (psoriasis-associated)	0005504	fatty acid binding
FADD	chr11	69726916	69731156	18	Fas (TNFRSF6)-associated via death domain	0005515	protein binding
FADS1	chr11	61323672	61341105	18	fatty acid desaturase 1	0020037	heme binding
FADS2	chr11	61352288	61391401	18	fatty acid desaturase 2	0016020	membrane
FADS3	chr11	61397573	61415582	18	fatty acid desaturase 3	0005624	membrane fraction
FAF1	chr1	50679522	51198524	18	Fas (TNFRSF6) associated factor 1	0042176	regulation of protein catabolic process
FAF2	chr5	175807961	175869681	18	Fas associated factor family member 2	0006986	response to unfolded protein
FAM104A	chr17	68715086	68740128	18	family with sequence similarity 104, member A
FAM107B	chr10	14600564	14856902	18	family with sequence similarity 107, member B
FAM118B	chr11	125586828	125637751	18	family with sequence similarity 118, member B
FAM120AOS	chr9	95248602	95255695	18	family with sequence similarity 120A opposite strand
FAM129A	chr1	183026788	183210305	18	family with sequence similarity 129, member A	0005886	plasma membrane
FAM133B	chr7	92028007	92057642	18	family with sequence similarity 133, member B
FAM134A	chr2	219751182	219758441	18	family with sequence similarity 134, member A	0005783	endoplasmic reticulum
FAM134C	chr17	37985051	38014971	18	family with sequence similarity 134, member C	0016021	integral to membrane
FAM136A	chr2	70376611	70382724	18	family with sequence similarity 136, member A	0005739	mitochondrion
FAM156B				18	family with sequence similarity 156, member B
FAM160B1	chr10	116571492	116649576	18	family with sequence similarity 160, member B1
FAM168A	chr11	72794675	72986876	18	family with sequence similarity 168, member A
FAM168B	chr2	131521918	131567474	18	family with sequence similarity 168, member B
FAM178A	chr10	102662315	102709337	18	family with sequence similarity 178, member A
FAM18B	chr17	18625306	18650751	18	family with sequence similarity 18, member B
FAM20B	chr1	177261696	177312325	18	family with sequence similarity 20, member B	0016301	kinase activity
FAM21A	chr10	51497689	51563275	18	family with sequence similarity 21, member A	0071203	WASH complex
FAM21B	chr10	47414028	47469423	18	family with sequence similarity 21, member B	0005769	early endosome
FAM21C	chr10	45542672	45608418	18	family with sequence similarity 21, member C	0042147	retrograde transport, endosome to Golgi
FAM36A	chr1	243065261	243074982	18	family with sequence similarity 36, member A	0016021	integral to membrane
FAM3C	chr7	120776140	120823658	18	family with sequence similarity 3, member C	0005125	cytokine activity
FAM49B	chr8	130922897	131021182	18	family with sequence similarity 49, member B
FAM53C	chr5	137701122	137713317	18	family with sequence similarity 53, member C
FAM54B	chr1	26018983	26032020	18	family with sequence similarity 54, member B
FAM60A	chr12	31324786	31370388	18	family with sequence similarity 60, member A
FAM62A	chr12	54808320	54824721	18	family with sequence similarity 62 (C2 domain containing), member A
FAM62B	chr7	158216449	158315080	18	family with sequence similarity 62 (C2 domain containing) member B
FAM65A	chr16	66120254	66138190	18	family with sequence similarity 65, member A	0005488	binding
FAM96A	chr15	62151813	62173260	18	family with sequence similarity 96, member A	0005575	cellular_component
FAM98A	chr2	33662232	33677866	18	family with sequence similarity 98, member A
FARSA	chr19	12894283	12905558	18	phenylalanyl-tRNA synthetase, alpha subunit	0010467	gene expression
FARSB	chr2	223144405	223229071	18	phenylalanyl-tRNA synthetase, beta subunit	0016874	ligase activity
FASTK	chr7	150404640	150408884	18	Fas-activated serine/threonine kinase	0005515	protein binding
FASTKD2	chr2	207338356	207369156	18	FAST kinase domains 2	0005739	mitochondrion
UBOX5				18	U-box domain containing 5
FBL	chr19	45016932	45028894	18	fibrillarin	0005515	protein binding
FBXL3	chr13	76477389	76499332	18	F-box and leucine-rich repeat protein 3	0000151	ubiquitin ligase complex
FBXO11	chr2	47887562	47986318	18	F-box protein 11	0000151	ubiquitin ligase complex
FBXO18	chr10	5972219	6019562	18	F-box protein, helicase, 18	0006281	DNA repair
FBXO28	chr1	222368413	222416372	18	F-box protein 28	0005515	protein binding
FBXO31	chr16	85920442	85974895	18	F-box protein 31	0030332	cyclin binding
FBXO7	chr22	31200706	31224818	18	F-box protein 7	0008219	cell death
FBXW2	chr9	122559074	122595561	18	F-box and WD repeat domain containing 2	0006464	protein modification process
FBXW4	chr10	103360410	103444733	18	F-box and WD repeat domain containing 4	0000151	ubiquitin ligase complex
FBXW7	chr4	153461859	153523114	18	F-box and WD repeat domain containing 7	0005654	nucleoplasm
FDFT1	chr8	11697598	11734227	18	farnesyl-diphosphate farnesyltransferase 1	0016021	integral to membrane
FDPS	chr1	153545162	153557081	18	farnesyl diphosphate synthase (farnesyl pyrophosphate synthetase, dimethylallyltranstransferase, geranyltranstransferase)	0006695	cholesterol biosynthetic process
FDX1L	chr19	10281890	10287691	18	ferredoxin 1-like	0022900	electron transport chain
FEM1A	chr19	4742727	4746571	18	fem-1 homolog a (C. elegans)	0004842	ubiquitin-protein ligase activity
FEM1B	chr15	66357194	66370694	18	fem-1 homolog b (C. elegans)	0042981	regulation of apoptosis
FEN1	chr11	61316725	61321286	18	flap structure-specific endonuclease 1	0003684	damaged DNA binding
FGFR1	chr8	38387812	38445509	18	fibroblast growth factor receptor 1	0005624	membrane fraction
FH	chr1	239727526	239749677	18	fumarate hydratase	0006099	tricarboxylic acid cycle
FHL1	chrX	135057224	135121184	18	four and a half LIM domains 1	0009887	organ morphogenesis
FIP1L1	chr4	53938576	54020860	18	FIP1 like 1 (S. cerevisiae)	0006397	mRNA processing
FKBP1A	chr20	1297621	1321816	18	FK506 binding protein 1A, 12kDa	0060314	regulation of ryanodine-sensitive calcium-release channel activity
FKBP3	chr14	44654551	44673482	18	FK506 binding protein 3, 25kDa	0005634	nucleus
FKBP4	chr12	2774368	2784848	18	FK506 binding protein 4, 59kDa	0005528	FK506 binding
FKBP5	chr6	35649339	35804338	18	FK506 binding protein 5	0005515	protein binding
FKBP8	chr19	18503567	18515383	18	FK506 binding protein 8, 38kDa	0005488	binding
FLAD1	chr1	153222440	153232211	18	FAD1 flavin adenine dinucleotide synthetase homolog (S. cerevisiae)	0008152	metabolic process
FLII	chr17	18088877	18102780	18	flightless I homolog (Drosophila)	NOT
FLJ10404	chr5	176879395	176914144	18	hypothetical protein FLJ10404
FLNA	chrX	153230093	153256200	18	filamin A, alpha (actin binding protein 280)	0034329	cell junction assembly
FLNB	chr3	57969166	58133017	18	filamin B, beta (actin binding protein 278)	0030036	actin cytoskeleton organization
FLOT1	chr6	30803489	30818432	18	flotillin 1	0005515	protein binding
FLOT2	chr17	24230482	24248841	18	flotillin 2	0005515	protein binding
FN1	chr2	215933421	216009036	18	fibronectin 1	0005201	extracellular matrix structural constituent
FNBP1	chr9	131689286	131845294	18	formin binding protein 1	0005515	protein binding
FNBP4	chr11	47694644	47745569	18	formin binding protein 4	0005515	protein binding
FNDC3A	chr13	48448048	48681916	18	fibronectin type III domain containing 3A	0000139	Golgi membrane
FNDC3B	chr3	173240111	173601186	18	fibronectin type III domain containing 3B	0045600	positive regulation of fat cell differentiation
FNTA	chr8	43030598	43060088	18	farnesyltransferase, CAAX box, alpha	0005829	cytosol
FOS	chr14	74815283	74818665	18	v-fos FBJ murine osteosarcoma viral oncogene homolog	0005654	nucleoplasm
FOSL2	chr2	28469282	28491020	18	FOS-like antigen 2	0003700	transcription factor activity
FOXJ2	chr12	8076625	8099385	18	forkhead box J2	0045893	positive regulation of transcription, DNA-dependent
FOXM1	chr12	2837109	2856564	18	forkhead box M1	0001558	regulation of cell growth
FOXN3	chr14	88692268	89155247	18	forkhead box N3	0003704	specific RNA polymerase II transcription factor activity
FOXO1	chr13	40027800	40138734	18	forkhead box O1	0008301	DNA bending activity
FOXO3	chr6	108987718	109112664	18	forkhead box O3	0001547	antral ovarian follicle growth
FOXRED1	chr11	125644264	125653237	18	FAD-dependent oxidoreductase domain containing 1	0055114	oxidation reduction
FRAP1	chr1	11089174	11245195	18	FK506 binding protein 12-rapamycin associated protein 1
FSCN1	chr7	5598979	5612812	18	fascin homolog 1, actin-bundling protein (Strongylocentrotus purpuratus)	0005515	protein binding
FTH1	chr11	61488332	61491708	18	ferritin, heavy polypeptide 1	0016491	oxidoreductase activity
FTL	chr19	54160377	54161948	18	ferritin, light polypeptide	0005506	iron ion binding
FTSJ3	chr17	59250524	59258763	18	FtsJ homolog 3 (E. coli)	0008168	methyltransferase activity
FTSJD2	chr6	37508884	37557262	18	FtsJ methyltransferase domain containing 2	0004483	mRNA (nucleoside-2'-O-)-methyltransferase activity
FUBP1	chr1	78186178	78217365	18	far upstream element (FUSE) binding protein 1	0003723	RNA binding
FUCA1	chr1	24044158	24067408	18	fucosidase, alpha-L- 1, tissue	0016798	hydrolase activity, acting on glycosyl bonds
FUNDC2	chrX	153908257	153938385	18	FUN14 domain containing 2	0005739	mitochondrion
FUS	chr16	31098953	31110600	18	fusion (involved in t(12;16) in malignant liposarcoma)	0005634	nucleus
FUSIP1	chr1	24165525	24179408	18	FUS interacting protein (serine/arginine-rich) 1
FUT8	chr14	64947592	65279715	18	fucosyltransferase 8 (alpha (1,6) fucosyltransferase)	0001701	in utero embryonic development
FXR1	chr3	182113145	182177644	18	fragile X mental retardation, autosomal homolog 1	0006915	apoptosis
FYTTD1	chr3	198961079	198995583	18	forty-two-three domain containing 1	0005654	nucleoplasm
G3BP1	chr5	151131668	151165108	18	GTPase activating protein (SH3 domain) binding protein 1	0005515	protein binding
G3BP2	chr4	76786976	76817367	18	GTPase activating protein (SH3 domain) binding protein 2	0005622	intracellular
GABARAP	chr17	7084461	7086477	18	GABA(A) receptor-associated protein	0000421	autophagic vacuole membrane
